Slot Id,Time slot,Imbalance,Imbalance price,Direction,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
1627,17.06.2025 22:30 - 17.06.2025 22:45,72,138.01,1,138.01,731,194.22,117.43,119.4,23.51,6.69,110.94
1628,17.06.2025 22:45 - 17.06.2025 23:00,72,12.01,1,138.01,720,194.22,117.43,119.4,23.51,6.69,110.94
1629,17.06.2025 23:00 - 17.06.2025 23:15,52,14.16,1,90.38,716,172.1,110.01,119.4,23.51,4.16,113.01
1630,17.06.2025 23:15 - 17.06.2025 23:30,52,3.54,1,90.38,712,172.1,110.01,119.4,23.51,4.16,113.01
1631,17.06.2025 23:30 - 17.06.2025 23:45,52,1.82,1,90.38,875,172.1,110.01,119.4,23.51,4.16,113.01
1632,17.06.2025 23:45 - 18.06.2025 00:00,52,-14.67,1,90.38,988,172.1,110.01,119.4,23.51,4.16,113.01
1633,18.06.2025 00:00 - 18.06.2025 00:15,13,1.26,1,76.44,965,142.16,102.1,113.65,22.38,4.03,112.27
1634,18.06.2025 00:15 - 18.06.2025 00:30,13,52.9,1,76.44,974,142.16,102.1,113.65,22.38,4.03,112.27
1635,18.06.2025 00:30 - 18.06.2025 00:45,13,13.94,1,76.44,986,142.16,102.1,113.65,22.38,4.03,112.27
1636,18.06.2025 00:45 - 18.06.2025 01:00,13,3.24,1,76.44,935,142.16,102.1,113.65,22.38,4.03,112.27
1637,18.06.2025 01:00 - 18.06.2025 01:15,76,5.22,1,67.1,875,84.61,102.87,114.92,22.64,2.94,111.82
1638,18.06.2025 01:15 - 18.06.2025 01:30,76,-2,1,67.1,881,84.61,102.87,114.92,22.64,2.94,111.82
1639,18.06.2025 01:30 - 18.06.2025 01:45,76,-1.28,1,67.1,872,84.61,102.87,114.92,22.64,2.94,111.82
1640,18.06.2025 01:45 - 18.06.2025 02:00,76,67.1,1,67.1,848,84.61,102.87,114.92,22.64,2.94,111.82
1641,18.06.2025 02:00 - 18.06.2025 02:15,-26,77.4,-1,77.4,848,4.76,102.81,115.82,22.84,3.27,112.16
1642,18.06.2025 02:15 - 18.06.2025 02:30,-26,77.4,-1,77.4,834,4.76,102.81,115.82,22.84,3.27,112.16
1643,18.06.2025 02:30 - 18.06.2025 02:45,-26,11.47,-1,77.4,792,4.76,102.81,115.82,22.84,3.27,112.16
1644,18.06.2025 02:45 - 18.06.2025 03:00,-26,77.4,-1,77.4,776,4.76,102.81,115.82,22.84,3.27,112.16
1645,18.06.2025 03:00 - 18.06.2025 03:15,62,96.34,1,62.86,773,5.18,135.29,126.41,30.33,3.11,113.78
1646,18.06.2025 03:15 - 18.06.2025 03:30,62,62.86,1,62.86,760,5.18,135.29,126.41,30.33,3.11,113.78
1647,18.06.2025 03:30 - 18.06.2025 03:45,62,402.25,1,62.86,744,5.18,135.29,126.41,30.33,3.11,113.78
1648,18.06.2025 03:45 - 18.06.2025 04:00,62,469.29,1,62.86,724,5.18,135.29,126.41,30.33,3.11,113.78
1649,18.06.2025 04:00 - 18.06.2025 04:15,14,450,1,70.14,795,5.56,163.28,136.2,37.27,10.32,110.81
1650,18.06.2025 04:15 - 18.06.2025 04:30,14,469.35,1,70.14,813,5.56,163.28,136.2,37.27,10.32,110.81
1651,18.06.2025 04:30 - 18.06.2025 04:45,14,402.25,1,70.14,833,5.56,163.28,136.2,37.27,10.32,110.81
1652,18.06.2025 04:45 - 18.06.2025 05:00,14,70.14,1,70.14,845,5.56,163.28,136.2,37.27,10.32,110.81
1653,18.06.2025 05:00 - 18.06.2025 05:15,53,-17.41,1,71.17,830,5,110.76,121.53,24.08,69.82,107.98
1654,18.06.2025 05:15 - 18.06.2025 05:30,53,-3.65,1,71.17,778,5,110.76,121.53,24.08,69.82,107.98
1655,18.06.2025 05:30 - 18.06.2025 05:45,53,71.17,1,71.17,735,5,110.76,121.53,24.08,69.82,107.98
1656,18.06.2025 05:45 - 18.06.2025 06:00,53,171.85,1,71.17,761,5,110.76,121.53,24.08,69.82,107.98
1657,18.06.2025 06:00 - 18.06.2025 06:15,61,-1.18,1,112.35,787,5.01,122.89,122.28,27.26,229.1,107.46
1658,18.06.2025 06:15 - 18.06.2025 06:30,61,-8,1,112.35,730,5.01,122.89,122.28,27.26,229.1,107.46
1659,18.06.2025 06:30 - 18.06.2025 06:45,61,205.54,1,112.35,693,5.01,122.89,122.28,27.26,229.1,107.46
1660,18.06.2025 06:45 - 18.06.2025 07:00,61,335.21,1,112.35,795,5.01,122.89,122.28,27.26,229.1,107.46
1661,18.06.2025 07:00 - 18.06.2025 07:15,53,8,1,114.9,769,5.03,119.65,122.79,27.17,667.03,106.9
1662,18.06.2025 07:15 - 18.06.2025 07:30,53,114.9,1,114.9,774,5.03,119.65,122.79,27.17,667.03,106.9
1663,18.06.2025 07:30 - 18.06.2025 07:45,53,117,1,114.9,777,5.03,119.65,122.79,27.17,667.03,106.9
1664,18.06.2025 07:45 - 18.06.2025 08:00,53,114.9,1,114.9,754,5.03,119.65,122.79,27.17,667.03,106.9
1665,18.06.2025 08:00 - 18.06.2025 08:15,59,111.39,1,111.39,755,4.73,110.62,115.32,26.55,1143.23,107.81
1666,18.06.2025 08:15 - 18.06.2025 08:30,59,7.13,1,111.39,745,4.73,110.62,115.32,26.55,1143.23,107.81
1667,18.06.2025 08:30 - 18.06.2025 08:45,59,-10.1,1,111.39,736,4.73,110.62,115.32,26.55,1143.23,107.81
1668,18.06.2025 08:45 - 18.06.2025 09:00,59,-2.38,1,111.39,730,4.73,110.62,115.32,26.55,1143.23,107.81
1669,18.06.2025 09:00 - 18.06.2025 09:15,54,-12.05,1,78.75,729,5.23,123.41,136.57,29,1592.09,107.27
1670,18.06.2025 09:15 - 18.06.2025 09:30,54,-37.86,1,78.75,726,5.23,123.41,136.57,29,1592.09,107.27
1671,18.06.2025 09:30 - 18.06.2025 09:45,54,78.75,1,78.75,719,5.23,123.41,136.57,29,1592.09,107.27
1672,18.06.2025 09:45 - 18.06.2025 10:00,54,-8,1,78.75,711,5.23,123.41,136.57,29,1592.09,107.27
1673,18.06.2025 10:00 - 18.06.2025 10:15,39,14.61,1,21.56,704,5.8,147.86,159.74,28.98,2105.92,104.94
1674,18.06.2025 10:15 - 18.06.2025 10:30,39,-2,1,21.56,692,5.8,147.86,159.74,28.98,2105.92,104.94
1675,18.06.2025 10:30 - 18.06.2025 10:45,39,-18.17,1,21.56,675,5.8,147.86,159.74,28.98,2105.92,104.94
1676,18.06.2025 10:45 - 18.06.2025 11:00,39,-26.97,1,21.56,661,5.8,147.86,159.74,28.98,2105.92,104.94
1677,18.06.2025 11:00 - 18.06.2025 11:15,35,-0.52,1,1.38,651,5.51,96.47,125.34,21.82,2143.17,86.81
1678,18.06.2025 11:15 - 18.06.2025 11:30,35,-20,1,1.38,641,5.51,96.47,125.34,21.82,2143.17,86.81
1679,18.06.2025 11:30 - 18.06.2025 11:45,35,-3.49,1,1.38,634,5.51,96.47,125.34,21.82,2143.17,86.81
1680,18.06.2025 11:45 - 18.06.2025 12:00,35,-10.12,1,1.38,629,5.51,96.47,125.34,21.82,2143.17,86.81
1681,18.06.2025 12:00 - 18.06.2025 12:15,81,0,1,0,626,7.55,107.5,123.07,20.62,2132.96,87
1682,18.06.2025 12:15 - 18.06.2025 12:30,81,-3.73,1,0,626,7.55,107.5,123.07,20.62,2132.96,87
1683,18.06.2025 12:30 - 18.06.2025 12:45,81,-43.16,1,0,627,7.55,107.5,123.07,20.62,2132.96,87
1684,18.06.2025 12:45 - 18.06.2025 13:00,81,-31.24,1,0,624,7.55,107.5,123.07,20.62,2132.96,87
1685,18.06.2025 13:00 - 18.06.2025 13:15,77,-0.01,1,-0.01,608,7.09,99.99,94.2,18.54,2142.98,88.19
1686,18.06.2025 13:15 - 18.06.2025 13:30,77,108.01,1,-0.01,602,7.09,99.99,94.2,18.54,2142.98,88.19
1687,18.06.2025 13:30 - 18.06.2025 13:45,77,104.08,1,-0.01,598,7.09,99.99,94.2,18.54,2142.98,88.19
1688,18.06.2025 13:45 - 18.06.2025 14:00,77,-44.99,1,-0.01,598,7.09,99.99,94.2,18.54,2142.98,88.19
1689,18.06.2025 14:00 - 18.06.2025 14:15,-1,-17.45,-1,0,609,6.52,94.2,83.41,16.48,1934.59,97.25
1690,18.06.2025 14:15 - 18.06.2025 14:30,-1,-10.41,-1,0,606,6.52,94.2,83.41,16.48,1934.59,97.25
1691,18.06.2025 14:30 - 18.06.2025 14:45,-1,-10.12,-1,0,609,6.52,94.2,83.41,16.48,1934.59,97.25
1692,18.06.2025 14:45 - 18.06.2025 15:00,-1,-10,-1,0,611,6.52,94.2,83.41,16.48,1934.59,97.25
1693,18.06.2025 15:00 - 18.06.2025 15:15,-55,-0.18,-1,-0.18,602,6.09,84.14,71.12,14.2,1880.87,106.82
1694,18.06.2025 15:15 - 18.06.2025 15:30,-55,-0.18,-1,-0.18,611,6.09,84.14,71.12,14.2,1880.87,106.82
1695,18.06.2025 15:30 - 18.06.2025 15:45,-55,54.35,-1,-0.18,621,6.09,84.14,71.12,14.2,1880.87,106.82
1696,18.06.2025 15:45 - 18.06.2025 16:00,-55,21.47,-1,-0.18,636,6.09,84.14,71.12,14.2,1880.87,106.82
1697,18.06.2025 16:00 - 18.06.2025 16:15,-93,-48.15,-1,2.28,670,6.77,89.25,90.71,18.29,2035.55,106.67
1698,18.06.2025 16:15 - 18.06.2025 16:30,-93,48.72,-1,2.28,681,6.77,89.25,90.71,18.29,2035.55,106.67
1699,18.06.2025 16:30 - 18.06.2025 16:45,-93,131.16,-1,2.28,689,6.77,89.25,90.71,18.29,2035.55,106.67
1700,18.06.2025 16:45 - 18.06.2025 17:00,-93,90.11,-1,2.28,699,6.77,89.25,90.71,18.29,2035.55,106.67
1701,18.06.2025 17:00 - 18.06.2025 17:15,-54,519.72,-1,56.93,714,9.06,142.1,149.14,39.83,1777.18,112.83
1702,18.06.2025 17:15 - 18.06.2025 17:30,-54,670.5,-1,56.93,731,9.06,142.1,149.14,39.83,1777.18,112.83
1703,18.06.2025 17:30 - 18.06.2025 17:45,-54,335.21,-1,56.93,753,9.06,142.1,149.14,39.83,1777.18,112.83
1704,18.06.2025 17:45 - 18.06.2025 18:00,-54,334.94,-1,56.93,773,9.06,142.1,149.14,39.83,1777.18,112.83
1705,18.06.2025 18:00 - 18.06.2025 18:15,-36,67.51,-1,67.51,787,8.06,110.11,126.86,25.37,1443.15,112.48
1706,18.06.2025 18:15 - 18.06.2025 18:30,-36,67.51,-1,67.51,802,8.06,110.11,126.86,25.37,1443.15,112.48
1707,18.06.2025 18:30 - 18.06.2025 18:45,-36,67.51,-1,67.51,823,8.06,110.11,126.86,25.37,1443.15,112.48
1708,18.06.2025 18:45 - 18.06.2025 19:00,-36,0,-1,67.51,844,8.06,110.11,126.86,25.37,1443.15,112.48
1709,18.06.2025 19:00 - 18.06.2025 19:15,-50,0.72,-1,71.17,860,7.79,111.05,116.94,23.37,825.5,111.76
1710,18.06.2025 19:15 - 18.06.2025 19:30,-50,61.63,-1,71.17,875,7.79,111.05,116.94,23.37,825.5,111.76
1711,18.06.2025 19:30 - 18.06.2025 19:45,-50,1.25,-1,71.17,889,7.79,111.05,116.94,23.37,825.5,111.76
1712,18.06.2025 19:45 - 18.06.2025 20:00,-50,71.17,-1,71.17,902,7.79,111.05,116.94,23.37,825.5,111.76
1713,18.06.2025 20:00 - 18.06.2025 20:15,12,0.15,1,81.05,912,7.59,117.91,112.56,22.67,302.42,111.75
1714,18.06.2025 20:15 - 18.06.2025 20:30,12,0.25,1,81.05,922,7.59,117.91,112.56,22.67,302.42,111.75
1715,18.06.2025 20:30 - 18.06.2025 20:45,12,81.05,1,81.05,927,7.59,117.91,112.56,22.67,302.42,111.75
1716,18.06.2025 20:45 - 18.06.2025 21:00,12,3.71,1,81.05,931,7.59,117.91,112.56,22.67,302.42,111.75
1717,18.06.2025 21:00 - 18.06.2025 21:15,-5,0,-1,81.37,931,9.59,232.53,163.6,37.52,67.77,117.85
1718,18.06.2025 21:15 - 18.06.2025 21:30,-5,10.28,-1,81.37,921,9.59,232.53,163.6,37.52,67.77,117.85
1719,18.06.2025 21:30 - 18.06.2025 21:45,-5,10.24,-1,81.37,905,9.59,232.53,163.6,37.52,67.77,117.85
1720,18.06.2025 21:45 - 18.06.2025 22:00,-5,0.23,-1,81.37,897,9.59,232.53,163.6,37.52,67.77,117.85
1721,18.06.2025 22:00 - 18.06.2025 22:15,26,7.94,1,80.07,901,9.74,242,167.89,38.96,7.95,121.34
1722,18.06.2025 22:15 - 18.06.2025 22:30,26,10.21,1,80.07,909,9.74,242,167.89,38.96,7.95,121.34
1723,18.06.2025 22:30 - 18.06.2025 22:45,26,-1.86,1,80.07,920,9.74,242,167.89,38.96,7.95,121.34
1724,18.06.2025 22:45 - 18.06.2025 23:00,26,-5.77,1,80.07,929,9.74,242,167.89,38.96,7.95,121.34
1725,18.06.2025 23:00 - 18.06.2025 23:15,-6,335.21,-1,74.6,934,7.45,112.61,113.18,25.1,8.07,117.65
1726,18.06.2025 23:15 - 18.06.2025 23:30,-6,181.01,-1,74.6,943,7.45,112.61,113.18,25.1,8.07,117.65
1727,18.06.2025 23:30 - 18.06.2025 23:45,-6,74.6,-1,74.6,1027,7.45,112.61,113.18,25.1,8.07,117.65
1728,18.06.2025 23:45 - 19.06.2025 00:00,-6,74.6,-1,74.6,1039,7.45,112.61,113.18,25.1,8.07,117.65
1729,19.06.2025 00:00 - 19.06.2025 00:15,-23,0.38,-1,68.84,1046,7.6,98.9,109.72,21.61,5.76,117.65
1730,19.06.2025 00:15 - 19.06.2025 00:30,-23,-1,-1,68.84,1067,7.6,98.9,109.72,21.61,5.76,117.65
1731,19.06.2025 00:30 - 19.06.2025 00:45,-23,0,-1,68.84,1046,7.6,98.9,109.72,21.61,5.76,117.65
1732,19.06.2025 00:45 - 19.06.2025 01:00,-23,-4.51,-1,68.84,1020,7.6,98.9,109.72,21.61,5.76,117.65
1733,19.06.2025 01:00 - 19.06.2025 01:15,70,66.3,1,66.3,984,7.53,100.27,110.57,21.78,8.46,117.74
1734,19.06.2025 01:15 - 19.06.2025 01:30,70,66.3,1,66.3,1053,7.53,100.27,110.57,21.78,8.46,117.74
1735,19.06.2025 01:30 - 19.06.2025 01:45,70,-2.9,1,66.3,1072,7.53,100.27,110.57,21.78,8.46,117.74
1736,19.06.2025 01:45 - 19.06.2025 02:00,70,-1.69,1,66.3,1076,7.53,100.27,110.57,21.78,8.46,117.74
