Slot Id,Time slot,Imbalance price,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
79,01.06.2025 19:30 - 01.06.2025 19:45,7.6,60.67,596,31.48,139.92,143.81,28.46,564.05,113.57
80,01.06.2025 19:45 - 01.06.2025 20:00,10.07,60.67,626,31.48,139.92,143.81,28.46,564.05,113.57
81,01.06.2025 20:00 - 01.06.2025 20:15,10.66,68.41,651,65.55,122.17,119.35,23.46,246.58,110.03
82,01.06.2025 20:15 - 01.06.2025 20:30,10.13,68.41,671,65.55,122.17,119.35,23.46,246.58,110.03
83,01.06.2025 20:30 - 01.06.2025 20:45,10.72,68.41,687,65.55,122.17,119.35,23.46,246.58,110.03
84,01.06.2025 20:45 - 01.06.2025 21:00,0.79,68.41,698,65.55,122.17,119.35,23.46,246.58,110.03
85,01.06.2025 21:00 - 01.06.2025 21:15,-18.67,69.74,711,122.11,109.31,100.64,19.82,55.49,110.75
86,01.06.2025 21:15 - 01.06.2025 21:30,16.08,69.74,727,122.11,109.31,100.64,19.82,55.49,110.75
87,01.06.2025 21:30 - 01.06.2025 21:45,7.87,69.74,743,122.11,109.31,100.64,19.82,55.49,110.75
88,01.06.2025 21:45 - 01.06.2025 22:00,-21.35,69.74,762,122.11,109.31,100.64,19.82,55.49,110.75
89,01.06.2025 22:00 - 01.06.2025 22:15,15.75,71.13,780,130.73,109.58,101.37,19.99,4.22,111.16
90,01.06.2025 22:15 - 01.06.2025 22:30,16.5,71.13,801,130.73,109.58,101.37,19.99,4.22,111.16
91,01.06.2025 22:30 - 01.06.2025 22:45,-27.84,71.13,822,130.73,109.58,101.37,19.99,4.22,111.16
92,01.06.2025 22:45 - 01.06.2025 23:00,-37.6,71.13,837,130.73,109.58,101.37,19.99,4.22,111.16
93,01.06.2025 23:00 - 01.06.2025 23:15,4.06,63.85,842,129.82,113.88,104.07,20.52,3.83,111.88
94,01.06.2025 23:15 - 01.06.2025 23:30,-16.65,63.85,848,129.82,113.88,104.07,20.52,3.83,111.88
95,01.06.2025 23:30 - 01.06.2025 23:45,-0.8,63.85,952,129.82,113.88,104.07,20.52,3.83,111.88
96,01.06.2025 23:45 - 02.06.2025 00:00,-21.11,63.85,993,129.82,113.88,104.07,20.52,3.83,111.88
97,02.06.2025 00:00 - 02.06.2025 00:15,1.99,32.44,977,153.09,103.94,102.88,20.38,2.72,109.71
98,02.06.2025 00:15 - 02.06.2025 00:30,32.44,32.44,946,153.09,103.94,102.88,20.38,2.72,109.71
99,02.06.2025 00:30 - 02.06.2025 00:45,-2.91,32.44,896,153.09,103.94,102.88,20.38,2.72,109.71
100,02.06.2025 00:45 - 02.06.2025 01:00,32.44,32.44,898,153.09,103.94,102.88,20.38,2.72,109.71
101,02.06.2025 01:00 - 02.06.2025 01:15,-3.96,16.75,940,136.57,102.13,100.57,19.88,4.32,110.98
102,02.06.2025 01:15 - 02.06.2025 01:30,11.24,16.75,944,136.57,102.13,100.57,19.88,4.32,110.98
103,02.06.2025 01:30 - 02.06.2025 01:45,-20.12,16.75,920,136.57,102.13,100.57,19.88,4.32,110.98
104,02.06.2025 01:45 - 02.06.2025 02:00,-1.98,16.75,903,136.57,102.13,100.57,19.88,4.32,110.98
105,02.06.2025 02:00 - 02.06.2025 02:15,-2.37,46,884,137.42,102.3,99.87,19.69,7.35,110.8
106,02.06.2025 02:15 - 02.06.2025 02:30,-6,46,796,137.42,102.3,99.87,19.69,7.35,110.8
107,02.06.2025 02:30 - 02.06.2025 02:45,-1.98,46,675,137.42,102.3,99.87,19.69,7.35,110.8
108,02.06.2025 02:45 - 02.06.2025 03:00,46,46,659,137.42,102.3,99.87,19.69,7.35,110.8
